Date,China Pigs
2011-01,535
2011-02,540
2011-03,520
2011-04,550
2011-05,570
2011-06,530
2011-07,485
2011-08,450
2011-09,390
2011-10,350
2011-11,300
2011-12,360
2012-01,400
2012-02,440
2012-03,470
2012-04,440
2012-05,423
2012-06,478
2012-07,429
2012-08,436
2012-09,460
2012-10,560
2012-11,580
2012-12,585
2013-01,440
2013-02,450
2013-03,480
2013-04,460
2013-05,435
2013-06,480
2013-07,500
2013-08,418
2013-09,430
2013-10,525
2013-11,530
2013-12,550
2014-01,420
2014-02,395
2014-03,385
2014-04,420
2014-05,430
2014-06,460
2014-07,440
2014-08,560
2014-09,500
2014-10,480
2014-11,450
2014-12,555
2015-01,570
2015-02,550
2015-03,440
2015-04,420
2015-05,430
2015-06,400
2015-07,395
2015-08,425
2015-09,415
2015-10,420
2015-11,425
2015-12,540
2016-01,510
2016-02,475
2016-03,370
2016-04,360
2016-05,320
2016-06,450
2016-07,390
2016-08,490
2016-09,462
2016-10,480
2016-11,460
2016-12,460
2017-01,475
2017-02,448
2017-03,460.4444444
2017-04,460.4444444
2017-05,460.4444444
2017-06,448
2017-07,435.5555556
2017-08,435.5555556
2017-09,435.5555556
2017-10,435.5555556
2017-11,435.5555556
2017-12,429.3333333
2018-01,440
2018-02,446.16
2018-03,442.59072
2018-04,434.1814963
2018-05,428.9713184
2018-06,425.5395478
2018-07,424.2629292
2018-08,427.6570326
2018-09,428.0846896
2018-10,425.0880968
2018-11,409.3598372
2018-12,405.6755987
2019-01,382.5520896
2019-02,361.8942767
2019-03,357.5515454
2019-04,347.1825506
2019-05,332.6008835
2019-06,315.6382384
2019-07,285.968244
2019-08,257.9433561
2019-09,250.2050554
2019-10,248.7038251
2019-11,253.6779016
2019-12,259.0051375
2020-01,265
2020-02,272
2020-03,280
2020-04,289
2020-05,300
2020-06,307
2020-07,322
2020-08,338
2020-09,370
2020-10,381
2020-11,392
2020-12,407
2021-01,395
2021-02,390
2021-03,380
2021-04,372
2021-05,370.5
2021-06,365
2021-07,360
2021-08,355
2021-09,350
2021-10,355
2021-11,355
2021-12,360
2022-01,365
2022-02,370
2022-03,375
2022-04,380
2022-05,385
2022-06,390
2022-07,395
2022-08,400
2022-09,405
2022-10,410
2022-11,415
2022-12,420
