index,Proyeccion
2013-01,1.3934
2013-02,1.3855
2013-03,1.3419
2013-04,1.438
2013-05,1.541
2013-06,1.7441
2013-07,1.6414
2013-08,1.7058
2013-09,1.5191
2013-10,1.3088
2013-11,1.2627
2013-12,1.1445
2014-01,1.1039
2014-02,1.3109
2014-03,1.7496
2014-04,1.7525
2014-05,1.4419
2014-06,1.6262
2014-07,1.6003
2014-08,1.2324
2014-09,1.0795
2014-10,1.1314
2014-11,0.9548
2014-12,0.9721
2015-01,1.0397
2015-02,0.8535
2015-03,0.701
2015-04,0.6541
2015-05,0.7764
2015-06,1.0677
2015-07,1.3856
2015-08,1.6679
2015-09,1.5739
2015-10,1.5817
2015-11,1.1473
2015-12,1.0483
2016-01,1.144
2016-02,1.2615
2016-03,1.3122
2016-04,1.2264
2016-05,1.051
2016-06,1.2193
2016-07,1.3172
2016-08,0.9035
2016-09,0.953
2016-10,1.0976
2016-11,1.0411
2016-12,1.0422
2017-01,1.3646
2017-02,1.7402
2017-03,1.3645
2017-04,1.1816
2017-05,1.2945
2017-06,1.7083
2017-07,2.0941
2017-08,1.7573
2017-09,1.0437
2017-10,0.9596
2017-11,1.287
2017-12,1.2149
2018-01,1.3321
2018-02,1.3033
2018-03,1.0624
2018-04,0.9095
2018-05,1.012
2018-06,1.4123
2018-07,1.5971
2018-08,0.8781
2018-09,1.0386
2018-10,1.3533
2018-11,1.1631
2018-12,1.2334
2019-01,1.2904
2019-02,1.0602
2019-03,1.2849
2019-04,1.4945
2019-05,1.2253
2019-06,1.0568
2019-07,1.1607
2019-08,1.52
2019-09,1.0201
2019-10,1.2589
2019-11,1.1668
2019-12,0.9415
2020-01,0.9904
2020-02,0.7485
2020-03,0.7368
2020-04,0.6719
2020-05,1.3243
2020-06,0.9659
2020-07,0.9732
2020-08,1.0746
2020-09,1.3806
2020-10,1.5694
2020-11,1.0096
2020-12,0.9304
2021-01,1.244
2021-02,1.4652
2021-03,1.7634
2021-04,1.8583
2021-05,1.6896
2021-06,1.7698
2021-07,2.0507
2021-08,2.1362
2021-09,1.712980928316302
2021-10,1.7128798116186918
2021-11,2.1361999999999832
2021-12,1.4845711340272387
2022-01,1.7130911174256134
2022-02,1.7131433251357582
2022-03,1.5648324176137718
2022-04,1.7140365723133615
2022-05,1.6621465299063083
2022-06,1.5065551474083156
2022-07,1.625625038053064
2022-08,1.6622312407019457
2022-09,1.592538057910968
2022-10,1.5925566468176517
2022-11,1.7856063837953602
2022-12,1.7146569516901193
