index,Proyeccion
2011-01,29927.9153704283
2011-02,32703.3670545968
2011-03,42791.0506004354
2011-04,42088.8324083235
2011-05,40377.8946718101
2011-06,41556.3070182401
2011-07,40622.1387726901
2011-08,44332.4659196277
2011-09,50362.0016569537
2011-10,43196.8470619283
2011-11,48192.2150568173
2011-12,45925.2497344206
2012-01,45508.152413711
2012-02,41291.5009478295
2012-03,48445.2007619258
2012-04,39305.0469740728
2012-05,50052.8836636758
2012-06,48641.5971447782
2012-07,47065.9957603173
2012-08,51482.7771587079
2012-09,55224.6547396274
2012-10,51973.1962338907
2012-11,57321.0253670349
2012-12,50679.5663100183
2013-01,45678.2519818275
2013-02,45360.7392010361
2013-03,51415.4790194983
2013-04,40733.012367774
2013-05,48868.7573688456
2013-06,48520.0032136724
2013-07,47380.1244690155
2013-08,50959.1283913536
2013-09,50421.7517022937
2013-10,48503.5129558773
2013-11,51963.7249548848
2013-12,44336.9550047498
2014-01,42638.4105702564
2014-02,35627.5165154721
2014-03,45963.1171888558
2014-04,45931.0448657641
2014-05,46674.7633098915
2014-06,46313.3817068394
2014-07,45133.6785502932
2014-08,45918.7018782866
2014-09,52121.8022850394
2014-10,44199.3913982131
2014-11,46437.772475474
2014-12,43109.7719304632
2015-01,39865.6680360993
2015-02,36095.5284828453
2015-03,51095.8435841737
2015-04,39552.7238768115
2015-05,44804.0990083476
2015-06,40127.9788765025
2015-07,43250.3308744429
2015-08,43839.1121311241
2015-09,51719.1675776198
2015-10,43937.7923286405
2015-11,47692.932614742
2015-12,45170.4421152543
2016-01,38042.9564215677
2016-02,36282.8949948565
2016-03,49815.4016601539
2016-04,41167.3034255833
2016-05,44923.1327271279
2016-06,44025.1461236122
2016-07,44323.2466762144
2016-08,44259.410096041
2016-09,50455.7912699167
2016-10,44808.4519718445
2016-11,48989.1551722146
2016-12,47836.9367786804
2017-01,38036.5091327473
2017-02,33380.5268077143
2017-03,53140.6289486213
2017-04,43199.8563669702
2017-05,45496.7787990736
2017-06,39601.2635871855
2017-07,45049.1958877717
2017-08,44728.1333148093
2017-09,50804.5194706747
2017-10,45496.1201490224
2017-11,45893.836237417
2017-12,45990.5797417342
2018-01,36893.8760054063
2018-02,39758.3505818981
2018-03,48202.7887159734
2018-04,41175.8715270325
2018-05,41900.410620559
2018-06,41682.1115148109
2018-07,40785.548843439
2018-08,48927.9246965984
2018-09,51198.9166759224
2018-10,43128.5959237914
2018-11,48167.971385745
2018-12,48016.8067989828
2019-01,41511.0368566278
2019-02,40189.4732856174
2019-03,55037.4909624595
2019-04,49313.7706671638
2019-05,42865.5308854891
2019-06,43008.2062567716
2019-07,45657.0564414502
2019-08,43458.5013156323
2019-09,50438.9972960094
2019-10,45962.6614268471
2019-11,53098.5519882956
2019-12,44322.4055097319
2020-01,47070.9517894959
2020-02,47201.0252028958
2020-03,59468.7617759878
2020-04,36045.0335760427
2020-05,38943.3161634463
2020-06,42583.2216992664
2020-07,51085.9413836801
2020-08,51691.5398019625
2020-09,59952.7961829405
2020-10,51606.8096450721
2020-11,51194.1038279699
2020-12,43286.4560920255
2021-01,45474.3427276854
2021-02,46822.0688635922
2021-03,54813.924777966
2021-04,45883.9819079907
2021-05,47054.5443421974
2021-06,41822.7176528847
2021-07,45935.415272370294
2021-08,43674.02548696904
2021-09,51258.522487761016
2021-10,44373.1221502425
2021-11,48578.5632789798
2021-12,43674.02548696904
2022-01,45935.415272370294
2022-02,40189.4732856174
2022-03,55037.4909624595
2022-04,43674.02548696904
2022-05,45935.415272370294
2022-06,43674.02548696904
2022-07,45935.415272370294
2022-08,43674.02548696904
2022-09,51258.522487761016
2022-10,43162.721492859855
2022-11,48578.5632789798
2022-12,43674.02548696904
