index,Proyeccion
2011-01,0.7321
2011-02,0.8097
2011-03,0.8193
2011-04,0.9091
2011-05,0.8955
2011-06,0.9301
2011-07,0.9423
2011-08,0.9936
2011-09,0.8517
2011-10,0.906
2011-11,0.829
2011-12,0.8114
2012-01,0.8282
2012-02,0.8368
2012-03,0.8307
2012-04,0.7978
2012-05,0.7906
2012-06,0.9396
2012-07,0.9156
2012-08,0.8337
2012-09,0.6797
2012-10,0.8008
2012-11,0.77
2012-12,0.8049
2013-01,0.8283
2013-02,0.8095
2013-03,0.7313
2013-04,0.7781
2013-05,0.894
2013-06,0.9769
2013-07,0.969
2013-08,0.9388
2013-09,0.9134
2013-10,0.8631
2013-11,0.8002
2013-12,0.776
2014-01,0.78
2014-02,0.8711
2014-03,1.1518
2014-04,1.1779
2014-05,1.0842
2014-06,1.164
2014-07,1.2666
2014-08,1.0386
2014-09,1.01
2014-10,0.9779
2014-11,0.8538
2014-12,0.7963
2015-01,0.6997
2015-02,0.6023
2015-03,0.594
2015-04,0.6133
2015-05,0.7789
2015-06,0.7642
2015-07,0.7521
2015-08,0.7419
2015-09,0.6766
2015-10,0.6889
2015-11,0.5218
2015-12,0.4975
2016-01,0.5354
2016-02,0.6204
2016-03,0.6174
2016-04,0.6378
2016-05,0.7296
2016-06,0.7859
2016-07,0.7255
2016-08,0.6231
2016-09,0.5401
2016-10,0.458
2016-11,0.4193
2016-12,0.5163
2017-01,0.6064
2017-02,0.7007
2017-03,0.6569
2017-04,0.5631
2017-05,0.6816
2017-06,0.8155
2017-07,0.8461
2017-08,0.737
2017-09,0.5335
2017-10,0.5884
2017-11,0.5909
2017-12,0.5757
2018-01,0.6779
2018-02,0.6704
2018-03,0.5696
2018-04,0.5185
2018-05,0.6297
2018-06,0.7783
2018-07,0.7067
2018-08,0.4337
2018-09,0.5148
2018-10,0.6036
2018-11,0.5248
2018-12,0.4636
2019-01,0.508
2019-02,0.4809
2019-03,0.5686
2019-04,0.7761
2019-05,0.7957
2019-06,0.7444
2019-07,0.7277
2019-08,0.6856
2019-09,0.4806
2019-10,0.5364
2019-11,0.4354
2019-12,0.4758
2020-01,0.5185
2020-02,0.5
2020-03,0.5443
2020-04,0.3746
2020-05,0.3741
2020-06,0.3018
2020-07,0.3381
2020-08,0.396
2020-09,0.5671
2020-10,0.6279
2020-11,0.5928
2020-12,0.5307
2021-01,0.5505
2021-02,0.6696
2021-03,0.8794
2021-04,1.0411
2021-05,1.1133
2021-06,1.1676
2021-07,1.0781
2021-08,0.9734
2021-09,0.8751510142284588
2021-10,0.8587720854419411
2021-11,0.7515901180370577
2021-12,0.7301516466247688
2022-01,0.8514945426313881
2022-02,0.8527211330225296
2022-03,0.8533752099088423
2022-04,0.8750491037912629
2022-05,0.7542868139166172
2022-06,0.729635418413963
2022-07,0.7296336095387379
2022-08,0.7491380535074696
2022-09,0.9347567621952121
2022-10,0.9329970288037609
2022-11,0.9332721706838529
2022-12,0.9325664295146301
