index,Proyeccion
2011-01,25879.1187535826
2011-02,23810.7808858828
2011-03,33328.1149899025
2011-04,24197.8837167194
2011-05,23690.5503039236
2011-06,27336.2434921913
2011-07,43572.4540410839
2011-08,65519.3822093093
2011-09,82246.7042536747
2011-10,108581.614055252
2011-11,117762.598350375
2011-12,92722.485514496
2012-01,82619.4986992549
2012-02,54296.4683536216
2012-03,56012.566202528
2012-04,65533.4909303067
2012-05,59660.5871188883
2012-06,46396.0996388581
2012-07,54217.6409035157
2012-08,50011.534814376
2012-09,39421.1362645787
2012-10,37002.802639189
2012-11,46502.239952506
2012-12,47025.1807221962
2013-01,29080.5472749658
2013-02,36620.2767138554
2013-03,30700.2040888057
2013-04,37247.5742579955
2013-05,49463.9650165059
2013-06,46218.7310307685
2013-07,43765.9030077179
2013-08,52285.2180703007
2013-09,51937.7561287679
2013-10,44470.3575378283
2013-11,41662.1123270352
2013-12,33025.6256616569
2014-01,45038.9860781364
2014-02,60097.2024749582
2014-03,70565.3327935445
2014-04,28562.5855338314
2014-05,24623.2186613557
2014-06,26231.7935679269
2014-07,15265.00114398
2014-08,6270.80053770576
2014-09,8658.1560934323
2014-10,20582.8689018002
2014-11,11024.3113646665
2014-12,12545.0393156978
2015-01,5400.40538833614
2015-02,6109.76013176592
2015-03,19983.2308098268
2015-04,29272.3830094513
2015-05,28962.8184539597
2015-06,23823.7796899343
2015-07,30498.4640899852
2015-08,22952.6171336927
2015-09,24353.6004675923
2015-10,21728.6289890082
2015-11,20884.3910403282
2015-12,17649.2031422591
2016-01,25459.5149442976
2016-02,35170.9419188988
2016-03,51845.9445133006
2016-04,56516.1372074187
2016-05,72501.7721393965
2016-06,57601.9336706176
2016-07,46964.8070825875
2016-08,28140.7312905012
2016-09,30008.4345568514
2016-10,28907.9854090598
2016-11,33591.6193479817
2016-12,29686.3591462956
2017-01,25922.1682971455
2017-02,35591.4600069735
2017-03,40571.2386634628
2017-04,38429.0133524035
2017-05,48358.0456132862
2017-06,36154.1733480396
2017-07,19989.1664900071
2017-08,20456.1303638819
2017-09,20631.0395838532
2017-10,31204.9322336455
2017-11,37918.6544045597
2017-12,25188.0688102491
2018-01,30114.7959499934
2018-02,41688.3995590024
2018-03,41814.8010295911
2018-04,45606.2620828475
2018-05,29165.3932990392
2018-06,23798.3075756149
2018-07,18590.9535502513
2018-08,16171.0109035411
2018-09,17151.9877098549
2018-10,19797.5928850774
2018-11,20825.7951197155
2018-12,30162.7266368954
2019-01,23475.6928482955
2019-02,29937.6987749645
2019-03,42317.1150472022
2019-04,49488.650080855
2019-05,56689.8707906622
2019-06,68984.0525182914
2019-07,107191.588552495
2019-08,93242.9922492209
2019-09,67677.5046527786
2019-10,94828.9877479615
2019-11,156758.042301092
2019-12,222096.940528917
2020-01,197354.576797382
2020-02,191393.000443578
2020-03,190148.823494974
2020-04,229835.867640629
2020-05,253960.219078593
2020-06,170781.406132827
2020-07,155444.234218501
2020-08,113513.415330945
2020-09,115005.995835397
2020-10,136625.474078704
2020-11,167488.903457667
2020-12,152990.975698912
2021-01,142405.489074299
2021-02,138263.482893597
2021-03,170941.810152581
2021-04,149128.089147776
2021-05,160120.263980057
2021-06,88649.129499176
2021-07,149831.8120237847
2021-08,167910.92596928438
2021-09,168994.05795375924
2021-10,172065.49778680463
2021-11,164039.8622656571
2021-12,173710.83029629447
2022-01,153432.0783440421
2022-02,140667.50823948218
2022-03,142335.5133117448
2022-04,143200.10016761482
2022-05,134747.20174928513
2022-06,134007.48890346117
2022-07,134874.64824066346
2022-08,128244.47768546602
2022-09,127541.10075980482
2022-10,127468.35944911226
2022-11,127183.84280571759
2022-12,123994.85863120413
