Period,Proyeccion
2011-01,4.94
2011-02,5.65
2011-03,5.53
2011-04,6.36
2011-05,6.32
2011-06,6.38
2011-07,6.33
2011-08,6.88
2011-09,6.38
2011-10,5.73
2011-11,5.83
2011-12,5.86
2012-01,6.07
2012-02,6.28
2012-03,6.35
2012-04,6.34
2012-05,6.34
2012-06,6.37
2012-07,7.14
2012-08,7.63
2012-09,6.89
2012-10,6.78
2012-11,7.01
2012-12,6.87
2013-01,6.96
2013-02,7.04
2013-03,7.13
2013-04,6.97
2013-05,6.97
2013-06,6.97
2013-07,6.79
2013-08,6.21
2013-09,5.4
2013-10,4.63
2013-11,4.37
2013-12,4.41
2014-01,4.42
2014-02,4.35
2014-03,4.52
2014-04,4.71
2014-05,4.71
2014-06,4.5
2014-07,4.06
2014-08,3.63
2014-09,3.49
2014-10,3.57
2014-11,3.6
2014-12,3.79
2015-01,3.82
2015-02,3.79
2015-03,3.81
2015-04,3.75
2015-05,3.64
2015-06,3.59
2015-07,3.8
2015-08,3.68
2015-09,3.68
2015-10,3.67
2015-11,3.59
2015-12,3.65
2016-01,3.66
2016-02,3.58
2016-03,3.56
2016-04,3.56
2016-05,3.68
2016-06,3.82
2016-07,3.6
2016-08,3.21
2016-09,3.22
2016-10,3.29
2016-11,3.24
2016-12,3.32
2017-01,3.4
2017-02,3.44
2017-03,3.49
2017-04,3.43
2017-05,3.45
2017-06,3.43
2017-07,3.49
2017-08,3.27
2017-09,3.27
2017-10,3.26
2017-11,3.15
2017-12,3.23
2018-01,3.29
2018-02,3.38
2018-03,3.51
2018-04,3.58
2018-05,3.68
2018-06,3.58
2018-07,3.47
2018-08,3.36
2018-09,3.4
2018-10,3.42
2018-11,3.41
2018-12,3.54
2019-01,3.56
2019-02,3.6
2019-03,3.61
2019-04,3.53
2019-05,3.63
2019-06,3.98
2019-07,4.16
2019-08,3.93
2019-09,3.8
2019-10,3.85
2019-11,3.68
2019-12,3.71
2020-01,3.79
2020-02,3.78
2020-03,3.68
2020-04,3.29
2020-05,3.2
2020-06,3.16
2020-07,3.21
2020-08,3.12
2020-09,3.4
2020-10,3.61
2020-11,3.79
2020-12,3.97
2021-01,4.24
2021-02,4.75
2021-03,4.89
2021-04,5.31
2021-05,5.91
2021-06,6.0
2021-07,6.12
2021-08,6.269624999999986
2021-09,6.044449999999994
2021-10,6.114024999999994
2021-11,6.10192499999999
2021-12,6.133349999999988
2022-01,6.136699999999994
2022-02,6.125399999999986
2022-03,6.140424999999985
2022-04,6.096374999999986
2022-05,6.056624999999996
2022-06,5.925225
2022-07,5.933950000000002
2022-08,5.799450000000002
2022-09,5.3978249999999965
2022-10,4.69859999999999
2022-11,4.26662499999999
2022-12,4.122274999999986
