index,Proyeccion
2013-01,0.8762
2013-02,0.8725
2013-03,0.8209
2013-04,0.8344
2013-05,0.915
2013-06,1.0326
2013-07,1.0188
2013-08,1.0185
2013-09,0.9847
2013-10,0.9445
2013-11,0.9202
2013-12,0.881
2014-01,0.8652
2014-02,0.958
2014-03,1.2307
2014-04,1.2309
2014-05,1.1384
2014-06,1.2507
2014-07,1.3358
2014-08,1.1366
2014-09,1.1082
2014-10,1.1171
2014-11,0.9459
2014-12,0.899
2015-01,0.8328
2015-02,0.7257
2015-03,0.6796
2015-04,0.6758
2015-05,0.8256
2015-06,0.8484
2015-07,0.8333
2015-08,0.8837
2015-09,0.844
2015-10,0.8674
2015-11,0.7456
2015-12,0.7215
2016-01,0.7292
2016-02,0.7611
2016-03,0.761
2016-04,0.7916
2016-05,0.8328
2016-06,0.878
2016-07,0.8826
2016-08,0.7634
2016-09,0.7903
2016-10,0.7301
2016-11,0.7381
2016-12,0.7778
2017-01,0.8056
2017-02,0.8381
2017-03,0.8011
2017-04,0.7486
2017-05,0.8406
2017-06,0.9653
2017-07,1.0324
2017-08,0.9164
2017-09,0.7794
2017-10,0.7487
2017-11,0.8129
2017-12,0.7944
2018-01,0.8074
2018-02,0.7844
2018-03,0.7317
2018-04,0.6811
2018-05,0.7354
2018-06,0.8285
2018-07,0.8174
2018-08,0.6859
2018-09,0.7466
2018-10,0.7884
2018-11,0.7008
2018-12,0.7156
2019-01,0.695
2019-02,0.6305
2019-03,0.714
2019-04,0.8469
2019-05,0.8494
2019-06,0.8027
2019-07,0.7737
2019-08,0.8365
2019-09,0.7101
2019-10,0.7642
2019-11,0.8341
2019-12,0.792
2020-01,0.7472
2020-02,0.6492
2020-03,0.7225
2020-04,0.658
2020-05,1.0577
2020-06,0.6847
2020-07,0.6787
2020-08,0.7214
2020-09,0.8482
2020-10,0.9409
2020-11,0.8118
2020-12,0.7521
2021-01,0.8031
2021-02,0.8834
2021-03,1.0125
2021-04,1.1117
2021-05,1.1746
2021-06,1.2327
2021-07,1.1982
2021-08,1.194
2021-09,1.0055230769230814
2021-10,0.9958014102564144
2021-11,0.9010525641025682
2021-12,0.8314780769230797
2022-01,0.9636858974359004
2022-02,0.9660196153846182
2022-03,0.9884628205128252
2022-04,0.9974497435897487
2022-05,0.883032820512823
2022-06,0.8253002564102582
2022-07,0.8234697435897455
2022-08,0.8507637179487197
2022-09,1.068622435897443
2022-10,1.0818661538461622
2022-11,1.0800083333333415
2022-12,1.0840857692307766
