Period,Proyeccion
2011-01,1599.09269718817
2011-02,1502.7069790452354
2011-03,1676.421930076222
2011-04,1437.7033919987537
2011-05,1393.3059022584316
2011-06,1500.7233723831832
2011-07,1260.5782165034047
2011-08,1486.6474898870042
2011-09,1565.2300134398192
2011-10,1669.1346604822077
2011-11,1653.814502823155
2011-12,1647.364710340846
2012-01,1541.9655199695162
2012-02,1595.3125426094737
2012-03,1613.7982948663637
2012-04,1443.4316505617485
2012-05,1591.634356229741
2012-06,1387.9859906236584
2012-07,1349.3874701937148
2012-08,1604.6288478896302
2012-09,1574.261478112468
2012-10,1829.3672328495743
2012-11,1656.4398092090073
2012-12,1550.1814524665033
2013-01,1703.9567167377827
2013-02,1504.1180529696371
2013-03,1633.161834077353
2013-04,1627.5501376802447
2013-05,1594.8957297606569
2013-06,1304.2320348588337
2013-07,1417.693485950276
2013-08,1588.162860746988
2013-09,1530.2816438509333
2013-10,1830.2626792521964
2013-11,1664.6382123604212
2013-12,1669.427732724536
2014-01,1710.346352007533
2014-02,1534.1547073418817
2014-03,1462.1607872841123
2014-04,1447.2861783668218
2014-05,1506.7636915196967
2014-06,1370.0633769057013
2014-07,1428.3968759347963
2014-08,1459.572309596676
2014-09,1615.0234376387416
2014-10,1831.851198884606
2014-11,1573.9415357627772
2014-12,1769.625119363643
2015-01,1841.7811374039932
2015-02,1719.5107554999
2015-03,1848.99518653339
2015-04,1655.972321338057
2015-05,1531.663496770138
2015-06,1633.434730959645
2015-07,1643.0443895907115
2015-08,1665.9772014978198
2015-09,1744.1608887050377
2015-10,1857.1134967392009
2015-11,1695.251582589066
2015-12,1838.310094806549
2016-01,1779.5425034440505
2016-02,1786.4959450451668
2016-03,1796.1533622875347
2016-04,1638.944348714522
2016-05,1604.7672590467484
2016-06,1646.2976752592576
2016-07,1480.1411172892035
2016-08,1836.6631192122384
2016-09,1806.9617837357207
2016-10,1869.0957534303109
2016-11,1782.1644650139046
2016-12,1724.60067059656
2017-01,1737.7860210618492
2017-02,1667.2651342245238
2017-03,1885.761720031424
2017-04,1596.279887598343
2017-05,1718.912448680196
2017-06,1698.2464144661883
2017-07,1537.4390400384186
2017-08,1887.478508922737
2017-09,1856.043530905656
2017-10,1961.7855169445556
2017-11,1787.009569157039
2017-12,1717.4662639468218
2018-01,1885.8209743763248
2018-02,1747.2400650821924
2018-03,1883.008758974909
2018-04,1690.691293945589
2018-05,1773.942838950507
2018-06,1623.8926298992342
2018-07,1581.8156136749328
2018-08,1950.5828571003976
2018-09,1686.7449486601863
2018-10,2040.09584916418
2018-11,1899.0456613409192
2018-12,1722.6260288045871
2019-01,1977.7623751871488
2019-02,1855.3500375519768
2019-03,1926.7628784545084
2019-04,1815.9968559863191
2019-05,1796.026144632203
2019-06,1709.1172548595073
2019-07,1738.961609248428
2019-08,1820.4503191264812
2019-09,1840.8926687338108
2019-10,2159.0926085663727
2019-11,1893.6888919882167
2019-12,1795.145827352576
2020-01,1966.420084502981
2020-02,1759.8012706605623
2020-03,1959.456911813645
2020-04,1417.1282321989445
2020-05,1339.8378838348367
2020-06,1821.871187046848
2020-07,1881.6224428573744
2020-08,1893.8733954414536
2020-09,1868.8105455346856
2020-10,2094.8740694698818
2020-11,1843.887905656543
2020-12,1924.3618773746127
2021-01,1948.717649155409
2021-02,1789.9178419488794
2021-03,1936.6102869438496
2021-04,1744.045592745343
2021-05,1465.8264263800386
2021-06,1790.9505766805855
2021-07,1985.1011104953495
2021-08,2037.8720651150852
2021-09,2105.2410393395567
2021-10,2076.5873713002425
2021-11,2123.3306755104327
2021-12,2077.5343082936038
2022-01,2069.047065008116
2022-02,2086.610945924001
2022-03,2121.7452174773643
2022-04,2016.296030817187
2022-05,2042.4260420889043
2022-06,2064.91074077521
2022-07,2059.340323830076
2022-08,2040.4875875062755
2022-09,2139.009102087636
2022-10,2103.5248070336943
2022-11,2142.924220968703
2022-12,2067.9063236772195
