index,Proyeccion
2011-01,
2011-02,
2011-03,
2011-04,
2011-05,
2011-06,
2011-07,
2011-08,
2011-09,
2011-10,
2011-11,
2011-12,
2012-01,
2012-02,
2012-03,
2012-04,
2012-05,
2012-06,
2012-07,
2012-08,
2012-09,
2012-10,
2012-11,
2012-12,
2013-01,0.7345
2013-02,0.7602
2013-03,0.6314
2013-04,0.6792
2013-05,0.6955
2013-06,0.7571
2013-07,0.8812
2013-08,0.876
2013-09,0.8734
2013-10,0.8986
2013-11,0.8777
2013-12,0.8384
2014-01,0.7553
2014-02,0.8375
2014-03,1.0033
2014-04,1.0316
2014-05,1.0478
2014-06,1.2479
2014-07,1.4092
2014-08,1.1303
2014-09,1.146
2014-10,1.1581
2014-11,0.9441
2014-12,0.7767
2015-01,0.691
2015-02,0.5902
2015-03,0.4943
2015-04,0.5242
2015-05,0.6605
2015-06,0.6115
2015-07,0.5672
2015-08,0.7084
2015-09,0.6256
2015-10,0.6699
2015-11,0.6124
2015-12,0.6224
2016-01,0.5598
2016-02,0.5777
2016-03,0.5474
2016-04,0.6388
2016-05,0.6643
2016-06,0.7402
2016-07,0.7744
2016-08,0.6853
2016-09,0.6696
2016-10,0.5201
2016-11,0.6661
2016-12,0.7364
2017-01,0.557
2017-02,0.5829
2017-03,0.6058
2017-04,0.5977
2017-05,0.6769
2017-06,0.6905
2017-07,0.785
2017-08,0.6769
2017-09,0.6451
2017-10,0.6638
2017-11,0.6712
2017-12,0.6041
2018-01,0.6399
2018-02,0.6013
2018-03,0.5591
2018-04,0.5493
2018-05,0.5282
2018-06,0.6197
2018-07,0.5527
2018-08,0.5759
2018-09,0.57
2018-10,0.5418
2018-11,0.5086
2018-12,0.5242
2019-01,0.4838
2019-02,0.4374
2019-03,0.6221
2019-04,0.6664
2019-05,0.7701
2019-06,0.7351
2019-07,0.7268
2019-08,0.7131
2019-09,0.6075
2019-10,0.6486
2019-11,0.9012
2019-12,0.794
2020-01,0.7183
2020-02,0.6093
2020-03,0.5337
2020-04,0.3841
2020-05,0.4141
2020-06,0.3477
2020-07,0.4604
2020-08,0.4496
2020-09,0.6263
2020-10,0.6668
2020-11,0.7122
2020-12,0.6385
2021-01,0.6207
2021-02,0.7062
2021-03,0.7325
2021-04,0.869
2021-05,0.8207
2021-06,0.7941
2021-07,0.9237
2021-08,0.708
2021-09,0.8590523381868692
2021-10,0.8394564233895859
2021-11,0.7261196161761679
2021-12,0.6784165620498043
2022-01,0.7990750758901007
2022-02,0.7980772571516773
2022-03,0.8153776973142621
2022-04,0.8227971650545377
2022-05,0.7242659780819098
2022-06,0.6790784976332579
2022-07,0.6777295034986623
2022-08,0.6693580937435688
2022-09,0.8977733852130065
2022-10,0.9322901582115659
2022-11,0.8961354769499897
2022-12,0.8896597589524594
