index,Proyeccion
2011-01,63707.9076327568
2011-02,60458.4936769995
2011-03,76801.9284055958
2011-04,68157.2300711107
2011-05,64500.2542497696
2011-06,62539.9616330925
2011-07,62425.5518158938
2011-08,68295.1838274615
2011-09,63257.5191785501
2011-10,69037.0470573344
2011-11,75121.5218133251
2011-12,69125.5241160068
2012-01,65557.452313632
2012-02,67508.0036115788
2012-03,74354.2977196095
2012-04,64135.9570523752
2012-05,62808.7510047636
2012-06,64214.6170316906
2012-07,69037.5305884418
2012-08,68972.6754049151
2012-09,60286.6940762887
2012-10,66741.2046861969
2012-11,70675.6297146515
2012-12,67391.0748814662
2013-01,68216.0511283253
2013-02,68296.113939412
2013-03,71009.713055245
2013-04,69211.1586847257
2013-05,72576.4710933876
2013-06,67883.6973146405
2013-07,77329.28494368
2013-08,75209.8479949341
2013-09,76506.0985945632
2013-10,77212.5775094622
2013-11,80886.9028568603
2013-12,75260.0691535575
2014-01,69476.11255151
2014-02,63789.0680257013
2014-03,79370.571114754
2014-04,78956.2304599758
2014-05,83751.802320473
2014-06,77884.0369301901
2014-07,79655.9090922993
2014-08,82973.3123996592
2014-09,94544.5038973443
2014-10,108625.412303918
2014-11,89102.5773459311
2014-12,103006.857845849
2015-01,92365.9285258704
2015-02,84811.8267737017
2015-03,102248.062146962
2015-04,87845.5790924108
2015-05,82042.9169494169
2015-06,96258.845584797
2015-07,85933.1425815546
2015-08,92104.2571916197
2015-09,91522.5824432945
2015-10,99376.021611924
2015-11,98856.8347085197
2015-12,102247.654151477
2016-01,97802.3171099968
2016-02,95229.9329365776
2016-03,99879.5518088411
2016-04,83059.2149610108
2016-05,90183.5437786714
2016-06,84244.0596092949
2016-07,90947.4428113637
2016-08,90195.6821907987
2016-09,84482.5344499465
2016-10,89391.4743658204
2016-11,94993.3470440365
2016-12,91078.6668037931
2017-01,83789.3823721029
2017-02,81685.6443353598
2017-03,98494.2469185832
2017-04,93311.021780137
2017-05,92527.4541572838
2017-06,95523.7952741646
2017-07,92119.9477762855
2017-08,99457.3010234722
2017-09,91717.7951350297
2017-10,97116.5460679105
2017-11,97482.7882827267
2017-12,92655.8477906239
2018-01,94532.654098246
2018-02,89418.3314898114
2018-03,95112.8664872908
2018-04,96159.2311870959
2018-05,91456.6675672383
2018-06,82635.7310961811
2018-07,86324.606259275
2018-08,81974.4769346993
2018-09,76731.3031236023
2018-10,84592.387933495
2018-11,82794.1835044355
2018-12,80338.7861575162
2019-01,84198.8620649898
2019-02,82277.5599103178
2019-03,92260.553160904
2019-04,79242.3056441334
2019-05,75350.0828082832
2019-06,72862.846060113
2019-07,79027.3575617137
2019-08,78892.0940793525
2019-09,73918.9380921915
2019-10,81972.813711644
2019-11,75365.2285676336
2019-12,69974.1944259801
2020-01,70458.9191299975
2020-02,65031.5047300103
2020-03,70868.4447712945
2020-04,58021.9857718074
2020-05,82421.6240134608
2020-06,79286.5911962169
2020-07,73180.5106151259
2020-08,79649.7351048655
2020-09,73223.8457551656
2020-10,85691.9646171712
2020-11,88711.284204748
2020-12,77652.9174647258
2021-01,81146.156725774
2021-02,74982.4422089262
2021-03,91110.4911927629
2021-04,87740.4602321758
2021-05,77708.4100617695
2021-06,94912.7775643381
2021-07,83836.08764292991
2021-08,85470.24752163023
2021-09,86461.44981213103
2021-10,86283.65312093474
2021-11,87562.78163590631
2021-12,86015.88444620314
2022-01,85460.4598404411
2022-02,86420.16135750545
2022-03,86705.3662301822
2022-04,84877.64278182398
2022-05,84924.21198975107
2022-06,86577.45490602705
2022-07,85810.74239758708
2022-08,86786.24162995149
2022-09,87387.19475469572
2022-10,88760.74787506259
2022-11,87323.27596627912
2022-12,87231.79475752678
