index,Proyeccion
2011-01,107145.904031882
2011-02,117614.219110628
2011-03,138940.240178142
2011-04,127670.86917032
2011-05,135728.860881077
2011-06,114372.487718093
2011-07,118362.439003018
2011-08,125223.973032162
2011-09,120695.116780535
2011-10,131604.500053938
2011-11,121218.465559619
2011-12,125398.761240432
2012-01,127583.389325098
2012-02,117334.911426805
2012-03,131123.223553577
2012-04,118607.598547112
2012-05,109198.498618531
2012-06,100019.885085721
2012-07,108185.307765322
2012-08,120288.090472037
2012-09,107461.277316209
2012-10,129998.317999993
2012-11,109095.306766346
2012-12,98760.3575525481
2013-01,118661.456095706
2013-02,105802.870500815
2013-03,118372.340202929
2013-04,109200.583353186
2013-05,117491.672705535
2013-06,106822.542369502
2013-07,110744.615944502
2013-08,108157.04248303
2013-09,104072.988980379
2013-10,123615.430776043
2013-11,107943.090884535
2013-12,108435.179534617
2014-01,125721.813607181
2014-02,113812.82566206
2014-03,143630.717230674
2014-04,150893.060490183
2014-05,134438.331754924
2014-06,133217.425319056
2014-07,119267.11606858
2014-08,106155.008754257
2014-09,101392.848467665
2014-10,123005.610086207
2014-11,108152.433323907
2014-12,112643.165157519
2015-01,108533.386890784
2015-02,107088.895672407
2015-03,111437.794494469
2015-04,144401.880161248
2015-05,120319.906606708
2015-06,101968.232542983
2015-07,102309.742225578
2015-08,89129.2245426072
2015-09,102776.572433221
2015-10,92644.3363383947
2015-11,95959.5314238943
2015-12,98845.9993349325
2016-01,93175.5324694874
2016-02,88964.5627804777
2016-03,115576.008659192
2016-04,102537.559661864
2016-05,99186.5662770679
2016-06,102252.456710236
2016-07,98794.5385852379
2016-08,109907.807241268
2016-09,94989.0699369952
2016-10,97200.9865461764
2016-11,116452.038888533
2016-12,94147.194218742
2017-01,98270.0428736048
2017-02,102166.59931582
2017-03,120358.775393295
2017-04,103107.177129463
2017-05,111097.438270104
2017-06,94583.6562433518
2017-07,87929.8470783256
2017-08,99526.9411966271
2017-09,91774.5382888475
2017-10,100238.276153584
2017-11,120643.991618401
2017-12,99258.3875266427
2018-01,109323.705605546
2018-02,100581.278629827
2018-03,104241.573602803
2018-04,95779.6363630852
2018-05,106142.705001383
2018-06,100316.974390794
2018-07,96727.5674729469
2018-08,106573.165096922
2018-09,92644.0519201105
2018-10,110023.995957438
2018-11,103054.279296917
2018-12,92623.552595183
2019-01,102244.364402676
2019-02,88622.8539764236
2019-03,96819.1357863303
2019-04,93583.867904575
2019-05,111519.146699735
2019-06,98021.0910710241
2019-07,97802.4333761773
2019-08,87874.1955406249
2019-09,86986.0610546558
2019-10,92717.0884234703
2019-11,101643.662580588
2019-12,90954.4571770855
2020-01,97558.2674331728
2020-02,109760.329758057
2020-03,114044.256826543
2020-04,122006.432317493
2020-05,83706.7001817451
2020-06,75187.2789004743
2020-07,91413.3059917018
2020-08,93212.5474776195
2020-09,95004.9510638495
2020-10,108261.565485978
2020-11,107174.645292378
2020-12,102402.388158195
2021-01,100982.630153112
2021-02,99050.9914598501
2021-03,129035.460342557
2021-04,104508.636926269
2021-05,114205.290943389
2021-06,103402.904374971
2021-07,
2021-08,
2021-09,112107.72291361654
2021-10,114550.56597134534
2021-11,116726.50638806421
2021-12,112878.43871729971
2022-01,108357.73369185277
2022-02,105947.52883716398
2022-03,109227.86876303119
2022-04,106388.87431418357
2022-05,105167.2576706638
2022-06,101661.03468087321
2022-07,104528.36482008998
2022-08,101661.03468087321
2022-09,101661.03468087321
2022-10,105763.68366829344
2022-11,109822.97976729624
2022-12,105373.73808597728
