index,Proyeccion
2011-01,35180.9421283832
2011-02,50291.4172724451
2011-03,86873.1111266205
2011-04,61375.180445557
2011-05,30150.77604242
2011-06,25054.2065654471
2011-07,33601.6663615912
2011-08,26810.5579901573
2011-09,18058.0834512833
2011-10,20712.7610412584
2011-11,30118.5675732186
2011-12,37044.4169958761
2012-01,45907.2116149034
2012-02,52038.9486533536
2012-03,49467.8830266319
2012-04,37183.0018055567
2012-05,29480.3640506453
2012-06,22282.6960450987
2012-07,14223.6528585871
2012-08,13278.6150946382
2012-09,24215.5999929728
2012-10,39699.6953690018
2012-11,42437.6868385084
2012-12,47003.672209502
2013-01,37008.1642137543
2013-02,35289.8134395799
2013-03,27239.6417622273
2013-04,24928.0112463896
2013-05,24030.0191017946
2013-06,18829.4877202181
2013-07,12898.3081213476
2013-08,11490.639778296
2013-09,7579.9819564749
2013-10,14172.0402765753
2013-11,29635.4741777287
2013-12,38354.2580595938
2014-01,34147.7813902201
2014-02,37239.8883504556
2014-03,46731.6691879363
2014-04,47238.0716550002
2014-05,34549.0600287017
2014-06,20778.3192022396
2014-07,15413.6229141938
2014-08,15488.7990693433
2014-09,21031.5488974416
2014-10,33676.4717875051
2014-11,36083.4616626712
2014-12,42145.5636869992
2015-01,43204.3874377844
2015-02,67469.5284837991
2015-03,57803.769261848
2015-04,68050.2455397349
2015-05,48906.4769818453
2015-06,35915.9257789328
2015-07,21345.0325433239
2015-08,17374.1495631858
2015-09,21050.362877035
2015-10,31678.3497856858
2015-11,39227.5057693693
2015-12,42087.7771933538
2016-01,36455.1383565419
2016-02,35509.8755668255
2016-03,46572.8735281169
2016-04,36491.1517387607
2016-05,31967.2698198449
2016-06,30368.9430986407
2016-07,21170.0206245068
2016-08,23710.902820766
2016-09,19929.9449638094
2016-10,36973.5319670191
2016-11,39672.3307613676
2016-12,47894.5257660148
2017-01,49133.667754802
2017-02,45150.9724320341
2017-03,62222.4636165594
2017-04,45477.0783766228
2017-05,48412.15610837
2017-06,39156.350469962
2017-07,24988.5187065536
2017-08,23948.8652463694
2017-09,27596.8460339707
2017-10,46793.8607588462
2017-11,53080.0580899991
2017-12,58909.786429846
2018-01,55748.772950782
2018-02,66832.3417549385
2018-03,87343.5406442332
2018-04,77545.2570082483
2018-05,67334.2883061547
2018-06,50206.4591969153
2018-07,41048.8270296338
2018-08,31094.2489215809
2018-09,37471.1314386364
2018-10,58997.3510174
2018-11,75862.878367815
2018-12,77099.7457158075
2019-01,55063.1723480156
2019-02,59007.8367728338
2019-03,61032.1510729249
2019-04,75315.9430654785
2019-05,64598.9202486432
2019-06,42736.4388694933
2019-07,36127.9769491708
2019-08,42407.2008184293
2019-09,33779.6348914193
2019-10,47254.5086552456
2019-11,56294.8934468735
2019-12,51007.4791689116
2020-01,49903.4634008576
2020-02,52228.3575619877
2020-03,55142.4379226515
2020-04,46145.9568553805
2020-05,50419.5911830888
2020-06,34139.4228745542
2020-07,31217.9974188655
2020-08,28045.1104189112
2020-09,28143.0434539624
2020-10,31369.574551009
2020-11,34974.7033117709
2020-12,44043.4272625742
2021-01,50013.322955912
2021-02,42284.6656569086
2021-03,52282.7322267184
2021-04,51448.6066807364
2021-05,56429.5645895335
2021-06,44638.3183183648
2021-07,42968.01637318716
2021-08,34209.001993218386
2021-09,39358.97560518086
2021-10,33540.92680332822
2021-11,46556.79313210501
2021-12,49967.85918082131
2022-01,49815.32062242061
2022-02,54302.24220333703
2022-03,49974.27864916087
2022-04,50394.53156656622
2022-05,45640.04357918153
2022-06,42770.116349857126
2022-07,35232.853398545434
2022-08,42454.627037698316
2022-09,35629.29127559382
2022-10,44008.8794840681
2022-11,54302.24220333703
2022-12,49657.654064724156
