index,Proyeccion
2011-01,0.5693
2011-02,0.6283
2011-03,0.6515
2011-04,0.7213
2011-05,0.6968
2011-06,0.7298
2011-07,0.7429
2011-08,0.7771
2011-09,0.6802
2011-10,0.6962
2011-11,0.6404
2011-12,0.6219
2012-01,0.6529
2012-02,0.6511
2012-03,0.6476
2012-04,0.6279
2012-05,0.615
2012-06,0.7374
2012-07,0.72
2012-08,0.6467
2012-09,0.5359
2012-10,0.6179
2012-11,0.5923
2012-12,0.6203
2013-01,0.6537
2013-02,0.6345
2013-03,0.5661
2013-04,0.6053
2013-05,0.693
2013-06,0.7533
2013-07,0.7513
2013-08,0.7319
2013-09,0.7045
2013-10,0.6727
2013-11,0.6265
2013-12,0.6062
2014-01,0.6069
2014-02,0.6802
2014-03,0.8974
2014-04,0.9111
2014-05,0.8337
2014-06,0.8922
2014-07,0.9776
2014-08,0.812
2014-09,0.769
2014-10,0.7565
2014-11,0.6569
2014-12,0.6191
2015-01,0.5432
2015-02,0.4692
2015-03,0.463
2015-04,0.4663
2015-05,0.598
2015-06,0.591
2015-07,0.5768
2015-08,0.5678
2015-09,0.5247
2015-10,0.5327
2015-11,0.4104
2015-12,0.38
2016-01,0.4049
2016-02,0.4766
2016-03,0.4793
2016-04,0.4917
2016-05,0.5618
2016-06,0.5971
2016-07,0.5717
2016-08,0.4808
2016-09,0.4259
2016-10,0.3579
2016-11,0.3332
2016-12,0.3961
2017-01,0.4656
2017-02,0.5416
2017-03,0.5207
2017-04,0.4508
2017-05,0.52
2017-06,0.6247
2017-07,0.6677
2017-08,0.5872
2017-09,0.433
2017-10,0.4519
2017-11,0.4657
2017-12,0.4554
2018-01,0.5207
2018-02,0.524
2018-03,0.4545
2018-04,0.4012
2018-05,0.4873
2018-06,0.5927
2018-07,0.5503
2018-08,0.3495
2018-09,0.3867
2018-10,0.4744
2018-11,0.4168
2018-12,0.3716
2019-01,0.3919
2019-02,0.3806
2019-03,0.4235
2019-04,0.5943
2019-05,0.6196
2019-06,0.5826
2019-07,0.5541
2019-08,0.5453
2019-09,0.3866
2019-10,0.418
2019-11,0.3577
2019-12,0.3668
2020-01,0.4027
2020-02,0.3914
2020-03,0.4193
2020-04,0.3105
2020-05,0.295
2020-06,0.2561
2020-07,0.273
2020-08,0.331
2020-09,0.4195
2020-10,0.5008
2020-11,0.4696
2020-12,0.4366
2021-01,0.4459
2021-02,0.5264
2021-03,0.6771
2021-04,0.7931
2021-05,0.8652
2021-06,0.8888
2021-07,0.8077
2021-08,0.7598
2021-09,0.6580867621690064
2021-10,0.6391163397410751
2021-11,0.5617853014602077
2021-12,0.5025723602929408
2022-01,0.6357281931932861
2022-02,0.6306318278814608
2022-03,0.6468983412009073
2022-04,0.6561250425944204
2022-05,0.5615213626190774
2022-06,0.5038870527035051
2022-07,0.5040269031411196
2022-08,0.5396742036980297
2022-09,0.7274484677789109
2022-10,0.725388169780147
2022-11,0.7230626990123304
2022-12,0.7207435818212387
