index,Proyeccion
2011-01,100081.803391201
2011-02,80638.8001410019
2011-03,88765.5438344074
2011-04,66153.7934897979
2011-05,91409.2495502299
2011-06,81185.2422399697
2011-07,75437.7801562431
2011-08,84751.2709338248
2011-09,80256.5423943233
2011-10,80800.2996778686
2011-11,92605.7823918892
2011-12,115799.113509242
2012-01,115642.692127145
2012-02,100877.068937245
2012-03,93019.3563808875
2012-04,87823.0573625969
2012-05,92480.7597630093
2012-06,76303.1013512342
2012-07,86953.6404811087
2012-08,99206.6779792111
2012-09,98967.3120449631
2012-10,107521.107484862
2012-11,100691.688073454
2012-12,104053.189561255
2013-01,108998.122147934
2013-02,81964.38891321
2013-03,75186.1542602249
2013-04,97132.6232002445
2013-05,100819.493578957
2013-06,94820.5785328878
2013-07,108439.190660222
2013-08,99430.6056789584
2013-09,100308.170139791
2013-10,111775.039997085
2013-11,121413.092204033
2013-12,138636.508932399
2014-01,123830.843080307
2014-02,111449.717332268
2014-03,106608.268672504
2014-04,106752.325015936
2014-05,114277.827702716
2014-06,112622.350279963
2014-07,112858.529221494
2014-08,112931.022462803
2014-09,115936.659939409
2014-10,117429.097465008
2014-11,108360.565626498
2014-12,129615.889391851
2015-01,119147.940166906
2015-02,121768.911307018
2015-03,135058.965368281
2015-04,123105.600249306
2015-05,113203.987568181
2015-06,135889.463910292
2015-07,129741.873360808
2015-08,130685.696991476
2015-09,125946.34278953
2015-10,132889.43851129
2015-11,137628.748931285
2015-12,148362.931649513
2016-01,123855.633710992
2016-02,120187.547115496
2016-03,112437.679918259
2016-04,115542.045922774
2016-05,124949.795306873
2016-06,117873.526558095
2016-07,116577.288090681
2016-08,137535.23088934
2016-09,144077.827222296
2016-10,146776.935151157
2016-11,168928.296173701
2016-12,181968.93283851
2017-01,162272.541954681
2017-02,147181.714331077
2017-03,156933.697341489
2017-04,129249.569571525
2017-05,154117.25447213
2017-06,141582.096457544
2017-07,128683.101120536
2017-08,148677.039185535
2017-09,145705.429012482
2017-10,157787.635776019
2017-11,161840.46243602
2017-12,174791.676301001
2018-01,162802.072267206
2018-02,143940.122490061
2018-03,150411.100292271
2018-04,182350.719294761
2018-05,161157.463610381
2018-06,136308.110831157
2018-07,127347.828638912
2018-08,141032.697180545
2018-09,130756.111934831
2018-10,151639.184157071
2018-11,140446.540886281
2018-12,139492.34318824
2019-01,142343.20758304
2019-02,116776.366402284
2019-03,128421.202525152
2019-04,118827.283927068
2019-05,108743.36990205
2019-06,133821.099664883
2019-07,150753.217157216
2019-08,137289.314705062
2019-09,125941.450584665
2019-10,119076.864244696
2019-11,128755.099698947
2019-12,149652.37797442
2020-01,155533.393972177
2020-02,138212.741120952
2020-03,140716.878518032
2020-04,98894.074988628
2020-05,84979.3175262114
2020-06,109497.729206813
2020-07,129348.147280721
2020-08,124915.53090579
2020-09,128820.202460584
2020-10,135341.674526174
2020-11,150676.456811653
2020-12,169416.058664158
2021-01,146579.948238829
2021-02,127736.254309229
2021-03,148776.600515971
2021-04,153743.290323928
2021-05,165910.109877163
2021-06,166983.374798948
2021-07,101757.81381584883
2021-08,101757.81381584883
2021-09,102947.91829886798
2021-10,108442.9704207063
2021-11,114893.19566727048
2021-12,105852.74047074455
2022-01,107054.86998729552
2022-02,115170.51929933707
2022-03,114925.81071503862
2022-04,105872.4033334296
2022-05,105658.54732810671
2022-06,113811.83503226892
2022-07,113756.47607795702
2022-08,124033.59934926251
2022-09,123151.52860327742
2022-10,122531.78937950802
2022-11,132840.59646316175
2022-12,147638.33824123887
