index,Proyeccion
2011-01,1896.2
2011-02,1768.1
2011-03,2054.4
2011-04,1790.7
2011-05,1759.7
2011-06,1820.0
2011-07,1637.1
2011-08,1892.1
2011-09,1954.4
2011-10,2033.2
2011-11,2086.7
2011-12,2065.6
2012-01,1987.3
2012-02,1883.0
2012-03,1987.7
2012-04,1841.9
2012-05,1926.8
2012-06,1750.5
2012-07,1721.9
2012-08,1998.1
2012-09,1911.2
2012-10,2210.7
2012-11,2079.2
2012-12,1954.2
2013-01,2064.9
2013-02,1778.4
2013-03,1932.0
2013-04,1940.8
2013-05,1898.9
2013-06,1676.3
2013-07,1840.3
2013-08,1938.4
2013-09,1842.9
2013-10,2169.0
2013-11,2039.9
2013-12,2065.4
2014-01,2085.7
2014-02,1844.2
2014-03,1854.4
2014-04,1911.0
2014-05,1859.1
2014-06,1734.0
2014-07,1799.8
2014-08,1752.2
2014-09,1871.9
2014-10,2126.4
2014-11,1890.2
2014-12,2114.3
2015-01,2104.5
2015-02,1945.2
2015-03,2111.8
2015-04,2066.9
2015-05,1861.9
2015-06,1995.9
2015-07,1972.9
2015-08,1949.1
2015-09,2035.9
2015-10,2169.2
2015-11,2080.8
2015-12,2207.2
2016-01,2084.2
2016-02,2000.9
2016-03,2145.2
2016-04,2000.2
2016-05,1949.0
2016-06,2013.5
2016-07,1824.5
2016-08,2149.6
2016-09,2126.3
2016-10,2198.3
2016-11,2240.3
2016-12,2209.1
2017-01,2154.8
2017-02,1987.6
2017-03,2267.6
2017-04,1988.2
2017-05,2095.9
2017-06,2053.2
2017-07,1864.9
2017-08,2210.5
2017-09,2164.9
2017-10,2316.5
2017-11,2244.8
2017-12,2235.0
2018-01,2290.1
2018-02,2058.1
2018-03,2296.8
2018-04,2141.9
2018-05,2174.4
2018-06,2008.6
2018-07,1985.5
2018-08,2316.3
2018-09,2012.9
2018-10,2450.5
2018-11,2348.0
2018-12,2231.5
2019-01,2373.7
2019-02,2167.5
2019-03,2297.0
2019-04,2268.7
2019-05,2218.9
2019-06,2127.8
2019-07,2210.8
2019-08,2257.9
2019-09,2237.1
2019-10,2606.4
2019-11,2428.6
2019-12,2443.1
2020-01,2553.3
2020-02,2306.4
2020-03,2566.5
2020-04,2031.6
2020-05,1880.9
2020-06,2400.9
2020-07,2371.4
2020-08,2341.0
2020-09,2336.0
2020-10,2598.6
2020-11,2406.2
2020-12,2510.4
2021-01,2477.4
2021-02,2265.3
2021-03,2548.5
2021-04,2343.6
2021-05,2070.0
2021-06,2254.3
2021-07,2340.3243406157344
2021-08,2446.1117022088024
2021-09,2505.924297810302
2021-10,2598.492460911323
2021-11,2579.2162360327598
2021-12,2575.263451700241
2022-01,2604.6194862345797
2022-02,2568.6673550205346
2022-03,2614.118219445998
2022-04,2325.5803303274492
2022-05,2519.545587679649
2022-06,2527.867122756068
2022-07,2447.158649701927
2022-08,2700.6063877953807
2022-09,2569.4928533091056
2022-10,2797.4304149935724
2022-11,2745.176801080015
2022-12,2612.326125072421
