index,Proyeccion
2013-01,1.087
2013-02,1.0244
2013-03,1.0395
2013-04,0.9997
2013-05,1.0104
2013-06,1.0457
2013-07,1.1346
2013-08,1.1253
2013-09,1.1203
2013-10,1.1213
2013-11,1.1813
2013-12,1.2329
2014-01,1.1952
2014-02,1.204
2014-03,1.6457
2014-04,1.8208
2014-05,1.7764
2014-06,1.7586
2014-07,1.7961
2014-08,1.7344
2014-09,1.4275
2014-10,1.4603
2014-11,1.4545
2014-12,1.4176
2015-01,1.1635
2015-02,1.0047
2015-03,1.0453
2015-04,0.8556
2015-05,0.9554
2015-06,1.2353
2015-07,1.1816
2015-08,0.9569
2015-09,1.0001
2015-10,0.9625
2015-11,0.9118
2015-12,0.9674
2016-01,0.8733
2016-02,0.8467
2016-03,0.8653
2016-04,0.943
2016-05,1.0748
2016-06,1.0038
2016-07,1.0723
2016-08,1.0426
2016-09,1.0445
2016-10,1.074
2016-11,1.069
2016-12,1.0837
2017-01,1.0803
2017-02,0.9911
2017-03,1.0716
2017-04,1.006
2017-05,0.997
2017-06,1.0718
2017-07,1.1197
2017-08,1.0778
2017-09,1.0425
2017-10,1.1203
2017-11,1.1715
2017-12,1.1481
2018-01,1.0441
2018-02,0.974
2018-03,0.948
2018-04,0.9431
2018-05,0.9486
2018-06,0.9585
2018-07,0.9418
2018-08,0.9037
2018-09,0.9206
2018-10,0.9809
2018-11,0.9821
2018-12,0.989
2019-01,0.9089
2019-02,0.8761
2019-03,0.9132
2019-04,1.0724
2019-05,1.2031
2019-06,1.1779
2019-07,1.0422
2019-08,1.0043
2019-09,0.9792
2019-10,0.9981
2019-11,1.1178
2019-12,1.3269
2020-01,1.1322
2020-02,1.0192
2020-03,1.1731
2020-04,0.9119
2020-05,1.5786
2020-06,1.2024
2020-07,1.0671
2020-08,1.094
2020-09,1.1031
2020-10,1.2007
2020-11,1.2319
2020-12,1.1877
2021-01,1.1438
2021-02,1.0902
2021-03,1.2682
2021-04,1.3657
2021-05,1.4679
2021-06,1.6094
2021-07,1.4117
2021-08,1.704
2021-09,1.4633410000000018
2021-10,1.441906000000001
2021-11,1.2750594666666673
2021-12,1.1910664666666675
2022-01,1.3255580000000002
2022-02,1.341236666666667
2022-03,1.3454036666666678
2022-04,1.3748346666666673
2022-05,1.1988654666666676
2022-06,1.1395498000000008
2022-07,1.1082851333333337
2022-08,1.099913466666667
2022-09,1.3748363333333347
2022-10,1.4066816666666673
2022-11,1.4307750000000001
2022-12,1.4746213333333336
