index,Proyeccion
2011-01,9104.4
2011-02,8506.0
2011-03,9872.5
2011-04,8628.8
2011-05,8542.6
2011-06,8939.0
2011-07,8157.8
2011-08,9530.0
2011-09,9691.1
2011-10,9903.8
2011-11,10042.4
2011-12,9941.8
2012-01,9539.2
2012-02,9044.7
2012-03,9520.7
2012-04,8827.1
2012-05,9285.0
2012-06,8548.7
2012-07,8566.3
2012-08,9943.4
2012-09,9455.0
2012-10,10856.3
2012-11,10107.8
2012-12,9469.1
2013-01,9956.4
2013-02,8591.2
2013-03,9316.2
2013-04,9358.3
2013-05,9210.4
2013-06,8196.2
2013-07,9077.4
2013-08,9555.3
2013-09,9023.9
2013-10,10420.0
2013-11,9641.4
2013-12,9730.1
2014-01,9790.0
2014-02,8667.7
2014-03,8673.7
2014-04,8858.1
2014-05,8618.4
2014-06,8098.2
2014-07,8459.9
2014-08,8269.1
2014-09,8829.2
2014-10,9951.4
2014-11,8809.8
2014-12,9850.3
2015-01,9758.9
2015-02,9077.1
2015-03,9887.5
2015-04,9676.8
2015-05,8745.5
2015-06,9427.4
2015-07,9402.0
2015-08,9347.1
2015-09,9728.1
2015-10,10248.0
2015-11,9765.5
2015-12,10361.4
2016-01,9744.3
2016-02,9429.7
2016-03,10088.3
2016-04,9367.4
2016-05,9180.4
2016-06,9568.2
2016-07,8761.5
2016-08,10390.9
2016-09,10170.5
2016-10,10446.3
2016-11,10605.3
2016-12,10467.1
2017-01,10126.3
2017-02,9370.5
2017-03,10681.0
2017-04,9342.8
2017-05,9952.1
2017-06,9870.2
2017-07,9017.9
2017-08,10662.2
2017-09,10287.1
2017-10,10997.8
2017-11,10548.0
2017-12,10460.6
2018-01,10714.4
2018-02,9636.7
2018-03,10722.6
2018-04,9993.2
2018-05,10217.9
2018-06,9606.6
2018-07,9594.1
2018-08,11155.3
2018-09,9649.4
2018-10,11644.6
2018-11,11040.1
2018-12,10457.6
2019-01,11042.5
2019-02,10104.1
2019-03,10722.9
2019-04,10581.6
2019-05,10356.0
2019-06,9989.5
2019-07,10578.5
2019-08,10865.5
2019-09,10644.4
2019-10,12302.5
2019-11,11331.4
2019-12,11394.1
2020-01,11814.3
2020-02,10722.6
2020-03,11941.8
2020-04,9416.3
2020-05,8602.2
2020-06,11179.9
2020-07,11224.0
2020-08,11122.0
2020-09,11027.7
2020-10,12016.4
2020-11,11018.1
2020-12,11477.6
2021-01,11249.9
2021-02,10428.1
2021-03,11739.8
2021-04,10821.7
2021-05,9648.9
2021-06,10647.5
2021-07,12512.316963703925
2021-08,11510.148753391783
2021-09,11464.466425602106
2021-10,12236.52772729321
2021-11,11293.643740045252
2021-12,12349.089225853151
2022-01,11708.255060587457
2022-02,11443.26236905188
2022-03,12555.063087235576
2022-04,11690.877399796138
2022-05,11744.545159002819
2022-06,11832.577043383893
2022-07,12887.389662208698
2022-08,11976.253456243528
2022-09,12100.361823915933
2022-10,13223.912941482271
2022-11,12253.998604146995
2022-12,13379.389173349806
