index,Proyeccion
2011-01,368694.210444587
2011-02,388776.514631764
2011-03,490261.998329374
2011-04,421315.838072357
2011-05,405775.351991338
2011-06,380859.589249909
2011-07,385689.335312489
2011-08,433020.693940457
2011-09,440993.505738731
2011-10,482109.386575127
2011-11,504818.01899017
2011-12,493756.813775161
2012-01,500271.932344116
2012-02,456005.461002105
2012-03,485622.002853246
2012-04,450249.306490627
2012-05,447382.394775023
2012-06,403019.626408032
2012-07,398413.060394727
2012-08,419184.827515285
2012-09,433400.215963821
2012-10,492723.971836622
2012-11,466491.820505644
2012-12,426595.622414963
2013-01,421981.334390543
2013-02,397493.060969775
2013-03,396821.878977892
2013-04,396846.021004481
2013-05,429773.741332731
2013-06,397921.662455807
2013-07,406051.798993404
2013-08,404051.987247946
2013-09,394431.45474363
2013-10,434801.898257266
2013-11,453341.690496439
2013-12,452450.336429022
2014-01,452919.760543977
2014-02,438252.36068382
2014-03,507575.783830642
2014-04,463497.052093154
2014-05,444440.110800776
2014-06,433747.660024489
2014-07,412688.033157503
2014-08,371413.002802983
2014-09,361828.066258603
2014-10,410130.213419312
2014-11,387815.041583154
2014-12,407357.738482206
2015-01,366124.791121877
2015-02,402382.071273802
2015-03,455442.875613572
2015-04,485141.257754354
2015-05,440931.420179279
2015-06,412942.114625152
2015-07,395012.752990843
2015-08,373916.0556938
2015-09,403807.693738257
2015-10,413632.524872723
2015-11,431929.252119454
2015-12,428598.559344928
2016-01,387240.813665946
2016-02,389183.987891411
2016-03,452628.189521306
2016-04,429169.866246489
2016-05,457933.284731923
2016-06,430250.384350037
2016-07,405661.32552216
2016-08,415245.56297856
2016-09,414183.750714226
2016-10,451943.72093551
2016-11,509835.882030132
2016-12,495380.996207233
2017-01,457377.361310254
2017-02,450848.510110836
2017-03,523972.526887159
2017-04,462839.134181794
2017-05,514376.005477088
2017-06,448369.380807976
2017-07,390374.907737867
2017-08,418322.792100735
2017-09,421418.264229374
2017-10,494696.029123355
2017-11,535084.219125688
2017-12,514139.583843802
2018-01,486534.679721921
2018-02,490945.266407619
2018-03,538003.107512382
2018-04,548567.937241507
2018-05,515622.828616731
2018-06,456346.101196947
2018-07,428162.992584342
2018-08,437841.619834302
2018-09,432370.354463416
2018-10,502886.538769315
2018-11,513262.522163516
2018-12,525963.757352929
2019-01,477755.486877841
2019-02,451873.522358341
2019-03,515438.674706396
2019-04,524650.449657814
2019-05,511300.93817608
2019-06,499045.591200606
2019-07,541363.748313286
2019-08,508579.774952871
2019-09,465218.269358381
2019-10,521246.205145271
2019-11,623442.336579417
2019-12,680852.367073404
2020-01,662962.834627017
2020-02,656754.234069448
2020-03,701298.532957649
2020-04,640464.753572863
2020-05,617759.740178624
2020-06,515020.404149369
2020-07,555204.067757752
2020-08,527238.339663412
2020-09,544697.30022048
2020-10,590117.89514729
2020-11,632519.378548205
2020-12,636348.040090113
2021-01,605991.507570365
2021-02,591937.600260047
2021-03,728844.204248913
2021-04,654962.867486833
2021-05,687782.983681731
2021-06,563787.200883753
2021-07,677333.3866537286
2021-08,674005.7334922636
2021-09,682229.1397819966
2021-10,682492.6372242204
2021-11,713039.8105929686
2021-12,706352.2509645424
2022-01,654186.9069142009
2022-02,713376.1909815941
2022-03,796857.2114281189
2022-04,731387.5761304836
2022-05,755601.4214533962
2022-06,741955.8836044035
2022-07,725900.7065457421
2022-08,723857.3661809774
2022-09,737359.8351306733
2022-10,739837.5939035547
2022-11,793270.9363049127
2022-12,781031.1015488787
