index,Proyeccion
2013-01,0.6368
2013-02,0.6219
2013-03,0.5371
2013-04,0.5117
2013-05,0.5768
2013-06,0.8258
2013-07,0.9477
2013-08,0.7745
2013-09,0.6782
2013-10,0.8368
2013-11,0.7439
2013-12,0.6466
2014-01,0.706
2014-02,0.8916
2014-03,1.2232
2014-04,1.3072
2014-05,1.1384
2014-06,1.3196
2014-07,1.4307
2014-08,1.1357
2014-09,1.0084
2014-10,1.0177
2014-11,0.774
2014-12,0.6943
2015-01,0.6465
2015-02,0.5094
2015-03,0.3991
2015-04,0.4779
2015-05,0.68
2015-06,0.7784
2015-07,0.6565
2015-08,0.4908
2015-09,0.5271
2015-10,0.6055
2015-11,0.5091
2015-12,0.3709
2016-01,0.4716
2016-02,0.5869
2016-03,0.5522
2016-04,0.7077
2016-05,0.7033
2016-06,0.7453
2016-07,0.7982
2016-08,0.6741
2016-09,0.5106
2016-10,0.4232
2016-11,0.4387
2016-12,0.5334
2017-01,0.6988
2017-02,0.6211
2017-03,0.6784
2017-04,0.684
2017-05,0.8038
2017-06,0.9604
2017-07,0.9097
2017-08,0.6717
2017-09,0.5987
2017-10,0.6222
2017-11,0.6255
2017-12,0.6345
2018-01,0.721
2018-02,0.6581
2018-03,0.6403
2018-04,0.5796
2018-05,0.6333
2018-06,0.7882
2018-07,0.6725
2018-08,0.5063
2018-09,0.5458
2018-10,0.5712
2018-11,0.4463
2018-12,0.4732
2019-01,0.5338
2019-02,0.481
2019-03,0.5754
2019-04,0.8868
2019-05,0.8284
2019-06,0.8703
2019-07,0.7741
2019-08,0.6668
2019-09,0.5932
2019-10,0.4849
2019-11,0.6019
2019-12,0.6506
2020-01,0.6933
2020-02,0.5563
2020-03,0.6775
2020-04,0.4563
2020-05,1.2787
2020-06,0.9665
2020-07,0.8234
2020-08,0.8126
2020-09,0.8402
2020-10,0.8646
2020-11,0.818
2020-12,0.7363
2021-01,0.7997
2021-02,0.867
2021-03,1.1697
2021-04,1.2479
2021-05,1.2676
2021-06,1.2379
2021-07,1.3833
2021-08,1.4172
2021-09,1.067182638439026
2021-10,1.027485170733847
2021-11,0.6613662077696174
2021-12,0.6603475437186304
2022-01,1.0250088528881127
2022-02,1.019486596659683
2022-03,1.0097918402057489
2022-04,1.0297461458142767
2022-05,0.6637968381064429
2022-06,0.7817159463480794
2022-07,0.6640670190136828
2022-08,0.6625425369854286
2022-09,1.0438237171105154
2022-10,1.0471821261555834
2022-11,1.0200284601842367
2022-12,1.0342708388286495
